sk_ato,proposicao_id,documento_id,comissao_sigla,verdict_estrutural,verdict_prosa,clausula,via
78386,22516,290656,GAB DEP MARTINS MACHADO,Não apreciado(a),merito_favoravel,"Assim, o voto é pela APROVAÇÃO do Projeto de Lei n° 1389/2024.",parecer_autor
78387,22548,308579,GAB DEP MAX MACIEL,Aprovado(a),merito_favoravel,"Assim, diante da relevância da matéria, bem como da necessidade e conveniência da medida veiculada pelo projeto, o voto manifesta-se pela aprovação, no âmbito da Comissão de Transporte e Mobilidade Urbana, do projeto de lei n.º 1.398/2024, na forma da emenda aditiva anexa.",parecer_autor
78388,22579,307224,GAB DEP FÁBIO FÉLIX,Não apreciado(a),admissivel_com_ressalva,"III - CONCLUSÃO Diante do exposto, manifestamos voto pela ADMISSIBILIDADE do Projeto de Lei nº 1.430/2024, no âmbito da Comissão de Constituição e Justiça, na forma do substitutivo anexo.",parecer_autor
78389,22579,293739,GAB DEP RICARDO VALE,Aprovado(a),merito_favoravel,"Voto, então, pela APROVAÇÃO do Projeto de Lei nº 1.430, de 2024.",parecer_autor
78390,22600,319000,GAB DEP FÁBIO FÉLIX,Aprovado(a),admissivel,"III - CONCLUSÃO Diante do exposto, manifestamos voto pela ADMISSIBILIDADE do Projeto de Lei nº 1.403/2024, no âmbito da Comissão de Constituição e Justiça.",parecer_autor
78391,22600,288725,GAB DEP GABRIEL MAGNO,Aprovado(a),merito_favoravel,"III - CONCLUSÕES Ante o exposto, manifestamos voto pela APROVAÇÃO, no mérito, do Projeto de Lei nº 1403/2024, no âmbito da Comissão de Educação e Cultura.",parecer_autor
78392,149705,284774,GAB DEP JOÃO CARDOSO,Aprovado(a),sem_clausula,,parecer_autor
78393,149711,291318,GAB DEP ROGÉRIO MORRO DA CRUZ,Não apreciado(a),merito_favoravel,"III - CONCLUSÕES Diante do exposto, nos manifestamos, no mérito, pela APROVAÇÃO do Projeto de Lei nº 1.411, de 2024, no âmbito desta Comissão de Assuntos Sociais.",parecer_autor
78394,149764,293843,GAB DEP MARTINS MACHADO,Aprovado(a),merito_favoravel,"Assim, o voto é pela APROVAÇÃO do Projeto de Lei n° 1420/2024.",parecer_autor
78395,149764,316851,GAB DEP GABRIEL MAGNO,Não apreciado(a),merito_favoravel,"III - CONCLUSÃO Diante do exposto, no âmbito da Comissão de Educação e Cultura, manifestamos voto pela aprovação, no mérito, do Projeto de Lei nº 1.420/2024.",parecer_autor
78396,149790,291197,GAB DEP MARTINS MACHADO,Aprovado(a),merito_favoravel,"Assim, o voto é pela APROVAÇÃO do Projeto de Lei n° 1414/2024.",parecer_autor
78397,149835,291870,GAB DEP ROBÉRIO NEGREIROS,Não apreciado(a),merito_contrario,"Em face do exposto, manifestamos voto pela REJEIÇÃO E INADMISSIBILIDADE do Projeto de Decreto Legislativo n.º 220/2024.",parecer_autor
78398,149836,320854,GAB DEP JOÃO CARDOSO,Não apreciado(a),merito_favoravel,"III - CONCLUSÃO Diante das considerações expostas, voto pela APROVAÇÃO, no mérito, do Projeto de Lei n° 1.417, de 2024, com as emendas da Comissão de Saúde - CSA, por entender que a proposição atende aos critérios de relevância social, necessidade, oportunidade e conveniência, aprimorando os mecanismos de controle externo e cont",parecer_autor
78399,149836,291841,GAB DEP DAYSE AMARILIO,Aprovado(a),merito_favoravel,"Ante o exposto, no âmbito desta Comissão de Saúde, somos pela APROVAÇÃO, no mérito, do Projeto de Lei nº 1.417, de 2024, na forma das 4 Emendas anexas: 3 Emendas Modificativas e 1 Emenda Aditiva.",parecer_autor
78400,149844,294976,GAB DEP FÁBIO FÉLIX,Aprovado(a),merito_favoravel,"Do exposto, vota-se, no âmbito da CTMU, pela APROVAÇÃO do PL nº 1.421, de 2024, com a Emenda Aditiva nº 1-CTMU, a Emenda Aditiva nº 2-CTMU e a Emenda Modificativa nº 3-CTMU, nos termos do art. 74, incisos I, III e IV, do RICLDF.",parecer_autor
78401,149844,316909,GAB DEP DAYSE AMARILIO,Aprovado(a),sem_clausula,,parecer_autor
78402,149869,292813,GAB DEP MARTINS MACHADO,Aprovado(a),merito_favoravel,"Portanto, votamos, no mérito, pela aprovação do Projeto de Lei n.º 1423, de 2024.",parecer_autor
78403,149935,291570,GAB DEP MAX MACIEL,Aprovado(a),sem_clausula,,parecer_autor
78404,149999,295827,GAB DEP DAYSE AMARILIO,Não apreciado(a),merito_favoravel,"III - CONCLUSÕES Ante o exposto, no âmbito desta Comissão de Saúde, somos pela aprovação no mérito, do Projeto de Decreto Legislativo nº 227, de 2024.",parecer_autor
78405,150012,308449,GAB DEP JOÃO CARDOSO,Não apreciado(a),sem_clausula,,parecer_autor
78406,150018,323494,GAB DEP JOÃO CARDOSO,Não apreciado(a),sem_clausula,,parecer_autor
78407,150018,300794,GAB DEP MARTINS MACHADO,Aprovado(a),merito_favoravel,"Assim, o voto é pela APROVAÇÃO do Projeto de Lei n° 1437/2024.",parecer_autor
78408,150038,282995,GAB DEP MARTINS MACHADO,Aprovado(a),merito_favoravel,"Pelo exposto, manifestamos voto pela APROVAÇÃO do Projeto de Decreto Legislativo nº 225/2024 no âmbito da Comissão de Assuntos Sociais.",parecer_autor
78409,150040,282997,GAB DEP MARTINS MACHADO,Não apreciado(a),merito_favoravel,"Pelo exposto, manifestamos voto pela APROVAÇÃO do Projeto de Decreto Legislativo nº 226/2024 no âmbito da Comissão de Assuntos Sociais.",parecer_autor
78410,150041,290420,GAB DEP MARTINS MACHADO,Não apreciado(a),merito_favoravel,"Assim, o voto é pela APROVAÇÃO do Projeto de Lei n° 1452/2024.",parecer_autor
78411,150062,311167,GAB DEP GABRIEL MAGNO,Não apreciado(a),merito_favoravel,"III - CONCLUSÕES Ante o exposto, no âmbito da Comissão de Saúde, manifestamos voto pela aprovação, no mérito, do Projeto de Lei nº 1478/2024.",parecer_autor
78412,150063,281816,GAB DEP RICARDO VALE,Aprovado(a),merito_favoravel,"Por essas razões, voto pela APROVAÇÃO do Projeto de Lei nº 1.450/2024, com a emenda anexa.",parecer_autor
78413,150065,290176,GAB DEP FÁBIO FÉLIX,Aprovado(a),sem_clausula,,parecer_autor
78414,150065,311983,GAB DEP DAYSE AMARILIO,Não apreciado(a),merito_favoravel,"III - CONCLUSÃO Diante do exposto, no âmbito da Comissão de Assuntos Sociais – CAS, somos pela aprovação, no mérito, do Projeto de Lei nº 1462, de 2024, de autoria do Deputado Max Maciel.",parecer_autor
