sk_ato,chave_deputado,nome_na_api,partido_ultimo,tipo_ato,nome_tipo_ato,data,ano,sessao_legislativa,legislatura,id_objeto,fonte,valor_centavos,regra_chave
139,15,Deputado Chico Vigilante,PT,1,apresentou uma proposição,2022-02-01,2022,32,8,6072,api_i5,,autor_id
140,20,Deputado Fábio Felix,PSOL,1,apresentou uma proposição,2022-02-01,2022,32,8,6072,api_i5,,autor_id
141,29,Deputado Leandro Grass,,1,apresentou uma proposição,2022-02-01,2022,32,8,6072,api_i5,,autor_id
142,32,Deputado Professor Reginaldo Veras,,1,apresentou uma proposição,2022-02-01,2022,32,8,6072,api_i5,,autor_id
143,33,Deputado Robério Negreiros,PSD,1,apresentou uma proposição,2022-02-01,2022,32,8,6073,api_i5,,autor_id
144,19,Deputado Eduardo Pedrosa,UNIÃO,1,apresentou uma proposição,2022-03-31,2022,32,8,6074,api_i5,,autor_id
145,34,Deputado Roosevelt Vilela,PL,1,apresentou uma proposição,2022-03-31,2022,32,8,6074,api_i5,,autor_id
146,35,Deputado Reginaldo Sardinha,,1,apresentou uma proposição,2022-03-31,2022,32,8,6074,api_i5,,autor_id
147,19,Deputado Eduardo Pedrosa,UNIÃO,1,apresentou uma proposição,2022-03-29,2022,32,8,6075,api_i5,,autor_id
148,28,Deputada Júlia Lucy,,1,apresentou uma proposição,2022-03-29,2022,32,8,6075,api_i5,,autor_id
149,34,Deputado Roosevelt Vilela,PL,1,apresentou uma proposição,2022-03-29,2022,32,8,6075,api_i5,,autor_id
150,35,Deputado Reginaldo Sardinha,,1,apresentou uma proposição,2022-03-29,2022,32,8,6075,api_i5,,autor_id
151,33,Deputado Robério Negreiros,PSD,1,apresentou uma proposição,2022-02-01,2022,32,8,6076,api_i5,,autor_id
152,34,Deputado Roosevelt Vilela,PL,1,apresentou uma proposição,2022-02-01,2022,32,8,6083,api_i5,,autor_id
153,32,Deputado Professor Reginaldo Veras,,1,apresentou uma proposição,2022-02-01,2022,32,8,6084,api_i5,,autor_id
154,35,Deputado Reginaldo Sardinha,,1,apresentou uma proposição,2022-02-02,2022,32,8,6088,api_i5,,autor_id
155,19,Deputado Eduardo Pedrosa,UNIÃO,1,apresentou uma proposição,2022-02-01,2022,32,8,6089,api_i5,,autor_id
156,28,Deputada Júlia Lucy,,1,apresentou uma proposição,2022-02-01,2022,32,8,6089,api_i5,,autor_id
157,29,Deputado Leandro Grass,,1,apresentou uma proposição,2022-02-01,2022,32,8,6089,api_i5,,autor_id
158,32,Deputado Professor Reginaldo Veras,,1,apresentou uma proposição,2022-02-01,2022,32,8,6089,api_i5,,autor_id
159,19,Deputado Eduardo Pedrosa,UNIÃO,1,apresentou uma proposição,2022-02-01,2022,32,8,6092,api_i5,,autor_id
160,28,Deputada Júlia Lucy,,1,apresentou uma proposição,2022-02-01,2022,32,8,6092,api_i5,,autor_id
161,29,Deputado Leandro Grass,,1,apresentou uma proposição,2022-02-01,2022,32,8,6092,api_i5,,autor_id
162,32,Deputado Professor Reginaldo Veras,,1,apresentou uma proposição,2022-02-01,2022,32,8,6092,api_i5,,autor_id
163,19,Deputado Eduardo Pedrosa,UNIÃO,1,apresentou uma proposição,2022-02-01,2022,32,8,6097,api_i5,,autor_id
164,28,Deputada Júlia Lucy,,1,apresentou uma proposição,2022-02-01,2022,32,8,6097,api_i5,,autor_id
165,29,Deputado Leandro Grass,,1,apresentou uma proposição,2022-02-01,2022,32,8,6097,api_i5,,autor_id
166,32,Deputado Professor Reginaldo Veras,,1,apresentou uma proposição,2022-02-01,2022,32,8,6097,api_i5,,autor_id
167,19,Deputado Eduardo Pedrosa,UNIÃO,1,apresentou uma proposição,2022-02-01,2022,32,8,6098,api_i5,,autor_id
168,28,Deputada Júlia Lucy,,1,apresentou uma proposição,2022-02-01,2022,32,8,6098,api_i5,,autor_id
169,29,Deputado Leandro Grass,,1,apresentou uma proposição,2022-02-01,2022,32,8,6098,api_i5,,autor_id
170,32,Deputado Professor Reginaldo Veras,,1,apresentou uma proposição,2022-02-01,2022,32,8,6098,api_i5,,autor_id
171,19,Deputado Eduardo Pedrosa,UNIÃO,1,apresentou uma proposição,2022-02-01,2022,32,8,6101,api_i5,,autor_id
172,28,Deputada Júlia Lucy,,1,apresentou uma proposição,2022-02-01,2022,32,8,6101,api_i5,,autor_id
173,29,Deputado Leandro Grass,,1,apresentou uma proposição,2022-02-01,2022,32,8,6101,api_i5,,autor_id
174,32,Deputado Professor Reginaldo Veras,,1,apresentou uma proposição,2022-02-01,2022,32,8,6101,api_i5,,autor_id
175,19,Deputado Eduardo Pedrosa,UNIÃO,1,apresentou uma proposição,2022-02-01,2022,32,8,6102,api_i5,,autor_id
176,28,Deputada Júlia Lucy,,1,apresentou uma proposição,2022-02-01,2022,32,8,6102,api_i5,,autor_id
177,29,Deputado Leandro Grass,,1,apresentou uma proposição,2022-02-01,2022,32,8,6102,api_i5,,autor_id
178,32,Deputado Professor Reginaldo Veras,,1,apresentou uma proposição,2022-02-01,2022,32,8,6102,api_i5,,autor_id
179,19,Deputado Eduardo Pedrosa,UNIÃO,1,apresentou uma proposição,2022-02-01,2022,32,8,6105,api_i5,,autor_id
180,28,Deputada Júlia Lucy,,1,apresentou uma proposição,2022-02-01,2022,32,8,6105,api_i5,,autor_id
181,29,Deputado Leandro Grass,,1,apresentou uma proposição,2022-02-01,2022,32,8,6105,api_i5,,autor_id
182,32,Deputado Professor Reginaldo Veras,,1,apresentou uma proposição,2022-02-01,2022,32,8,6105,api_i5,,autor_id
183,19,Deputado Eduardo Pedrosa,UNIÃO,1,apresentou uma proposição,2022-02-01,2022,32,8,6106,api_i5,,autor_id
184,28,Deputada Júlia Lucy,,1,apresentou uma proposição,2022-02-01,2022,32,8,6106,api_i5,,autor_id
185,29,Deputado Leandro Grass,,1,apresentou uma proposição,2022-02-01,2022,32,8,6106,api_i5,,autor_id
186,32,Deputado Professor Reginaldo Veras,,1,apresentou uma proposição,2022-02-01,2022,32,8,6106,api_i5,,autor_id
187,19,Deputado Eduardo Pedrosa,UNIÃO,1,apresentou uma proposição,2022-02-01,2022,32,8,6107,api_i5,,autor_id
188,28,Deputada Júlia Lucy,,1,apresentou uma proposição,2022-02-01,2022,32,8,6107,api_i5,,autor_id
189,29,Deputado Leandro Grass,,1,apresentou uma proposição,2022-02-01,2022,32,8,6107,api_i5,,autor_id
190,32,Deputado Professor Reginaldo Veras,,1,apresentou uma proposição,2022-02-01,2022,32,8,6107,api_i5,,autor_id
191,19,Deputado Eduardo Pedrosa,UNIÃO,1,apresentou uma proposição,2022-02-01,2022,32,8,6111,api_i5,,autor_id
192,28,Deputada Júlia Lucy,,1,apresentou uma proposição,2022-02-01,2022,32,8,6111,api_i5,,autor_id
193,29,Deputado Leandro Grass,,1,apresentou uma proposição,2022-02-01,2022,32,8,6111,api_i5,,autor_id
194,32,Deputado Professor Reginaldo Veras,,1,apresentou uma proposição,2022-02-01,2022,32,8,6111,api_i5,,autor_id
195,19,Deputado Eduardo Pedrosa,UNIÃO,1,apresentou uma proposição,2022-02-01,2022,32,8,6114,api_i5,,autor_id
196,28,Deputada Júlia Lucy,,1,apresentou uma proposição,2022-02-01,2022,32,8,6114,api_i5,,autor_id
197,29,Deputado Leandro Grass,,1,apresentou uma proposição,2022-02-01,2022,32,8,6114,api_i5,,autor_id
198,32,Deputado Professor Reginaldo Veras,,1,apresentou uma proposição,2022-02-01,2022,32,8,6114,api_i5,,autor_id
199,31,Deputado Rafael Prudente,,1,apresentou uma proposição,2022-02-01,2022,32,8,6119,api_i5,,autor_id
200,19,Deputado Eduardo Pedrosa,UNIÃO,1,apresentou uma proposição,2022-03-29,2022,32,8,6122,api_i5,,autor_id
201,28,Deputada Júlia Lucy,,1,apresentou uma proposição,2022-03-29,2022,32,8,6122,api_i5,,autor_id
202,34,Deputado Roosevelt Vilela,PL,1,apresentou uma proposição,2022-03-29,2022,32,8,6122,api_i5,,autor_id
203,35,Deputado Reginaldo Sardinha,,1,apresentou uma proposição,2022-03-29,2022,32,8,6122,api_i5,,autor_id
204,18,Deputado Delmasso,,1,apresentou uma proposição,2022-02-01,2022,32,8,6124,api_i5,,autor_id
205,33,Deputado Robério Negreiros,PSD,1,apresentou uma proposição,2022-02-01,2022,32,8,6126,api_i5,,autor_id
206,24,Deputada Jaqueline Silva,MDB,1,apresentou uma proposição,2022-02-01,2022,32,8,6130,api_i5,,autor_id
207,24,Deputada Jaqueline Silva,MDB,1,apresentou uma proposição,2022-02-01,2022,32,8,6134,api_i5,,autor_id
208,24,Deputada Jaqueline Silva,MDB,1,apresentou uma proposição,2022-02-01,2022,32,8,6135,api_i5,,autor_id
209,24,Deputada Jaqueline Silva,MDB,1,apresentou uma proposição,2022-02-01,2022,32,8,6136,api_i5,,autor_id
210,22,Deputado Hermeto,MDB,1,apresentou uma proposição,2022-02-01,2022,32,8,6137,api_i5,,autor_id
211,24,Deputada Jaqueline Silva,MDB,1,apresentou uma proposição,2022-02-01,2022,32,8,6138,api_i5,,autor_id
212,31,Deputado Rafael Prudente,,1,apresentou uma proposição,2022-02-01,2022,32,8,6141,api_i5,,autor_id
213,31,Deputado Rafael Prudente,,1,apresentou uma proposição,2022-02-01,2022,32,8,6148,api_i5,,autor_id
214,28,Deputada Júlia Lucy,,1,apresentou uma proposição,2022-02-23,2022,32,8,6150,api_i5,,autor_id
215,32,Deputado Professor Reginaldo Veras,,1,apresentou uma proposição,2022-02-23,2022,32,8,6150,api_i5,,autor_id
216,53,Deputado Janio Farias Marques (Guarda Janio),,1,apresentou uma proposição,2022-02-23,2022,32,8,6150,api_i5,,autor_id
217,28,Deputada Júlia Lucy,,1,apresentou uma proposição,2022-02-01,2022,32,8,6151,api_i5,,autor_id
218,28,Deputada Júlia Lucy,,1,apresentou uma proposição,2022-02-23,2022,32,8,6161,api_i5,,autor_id
219,32,Deputado Professor Reginaldo Veras,,1,apresentou uma proposição,2022-02-23,2022,32,8,6161,api_i5,,autor_id
220,53,Deputado Janio Farias Marques (Guarda Janio),,1,apresentou uma proposição,2022-02-23,2022,32,8,6161,api_i5,,autor_id
221,31,Deputado Rafael Prudente,,1,apresentou uma proposição,2022-02-01,2022,32,8,6162,api_i5,,autor_id
222,22,Deputado Hermeto,MDB,1,apresentou uma proposição,2022-02-01,2022,32,8,6163,api_i5,,autor_id
223,31,Deputado Rafael Prudente,,1,apresentou uma proposição,2022-02-01,2022,32,8,6164,api_i5,,autor_id
224,26,Deputado Jorge Vianna,INVÁLIDO,1,apresentou uma proposição,2022-02-01,2022,32,8,6170,api_i5,,autor_id
225,29,Deputado Leandro Grass,,1,apresentou uma proposição,2022-02-01,2022,32,8,6175,api_i5,,autor_id
226,22,Deputado Hermeto,MDB,1,apresentou uma proposição,2022-02-01,2022,32,8,6177,api_i5,,autor_id
227,22,Deputado Hermeto,MDB,1,apresentou uma proposição,2022-02-08,2022,32,8,6180,api_i5,,autor_id
228,22,Deputado Hermeto,MDB,1,apresentou uma proposição,2022-02-01,2022,32,8,6181,api_i5,,autor_id
