sk_ato,chave_deputado,nome_na_api,partido_ultimo,tipo_ato,nome_tipo_ato,data,ano,sessao_legislativa,legislatura,id_objeto,fonte,valor_centavos,regra_chave,proposicao_id,documento_id,comissao_sigla,verdict_estrutural,verdict_prosa,clausula,via
77764,23,Deputado Iolando,MDB,3,relatou (parecer),2024-08-19,2024,34,9,20821,api_i8,,normalizar,20821,129031,GAB DEP IOLANDO,Não apreciado(a),admissivel,"vista que a proposição observa todas as exigências formais e matérias do ordenamento jurídico e favorece o desenvolvimento da atuação governamental, no âmbito desta COMISSÃO DE CONSTITUIÇÃO E JUSTIÇA, manifestamos voto pela ADMISSIBILIDADE do Projeto de Lei nº 1.169, de 2024, do Poder Executivo.",parecer_autor
77765,19,Deputado Eduardo Pedrosa,UNIÃO,3,relatou (parecer),2024-09-10,2024,34,9,20826,api_i8,,normalizar,20826,131794,CEOF,Não apreciado(a),admissivel,"Pelo exposto, vota-se, no âmbito da CEOF, pela admissibilidade do PL nº 1.170/2024, nos termos do art. 64, II do RICLDF.",parecer_autor
77766,23,Deputado Iolando,MDB,3,relatou (parecer),2024-09-10,2024,34,9,20826,api_i8,,normalizar,20826,131811,GAB DEP IOLANDO,Aprovado(a),admissivel,"vista que a proposição observa todas as exigências formais e matérias do ordenamento jurídico e favorece o desenvolvimento da atuação governamental, no âmbito desta COMISSÃO DE CONSTITUIÇÃO E JUSTIÇA, manifestamos voto pela ADMISSIBILIDADE do Projeto de Lei nº 1.170, de 2024, do Poder Executivo.",parecer_autor
77767,19,Deputado Eduardo Pedrosa,UNIÃO,3,relatou (parecer),2024-09-17,2024,34,9,20827,api_i8,,normalizar,20827,132948,CEOF,Aprovado(a),admissivel,"- LDO 2024 e com a Lei nº 7.377/2023 – LOA 2024. Dessa forma, tendo em vista que a proposição observa as exigências formais e materiais do ordenamento jurídico e favorece o desenvolvimento da atuação governamental, voto pela ADMISSIBILIDADE e APROVAÇÃO do Projeto de Lei Complementar 51/2024, de autoria do Poder Executivo, no âmbito desta Comissão de Economia, Orçamento e Finanças, com acatamento de emenda aditiva apresentada por este relator.",parecer_autor
77768,34,Deputado Roosevelt Vilela,PL,3,relatou (parecer),2024-09-19,2024,34,9,20831,api_i8,,normalizar,20831,133521,GAB DEP ROOSEVELT VILELA,Não apreciado(a),merito_favoravel,"Pelo exposto, manifestamo-nos pela aprovação, no mérito, do Projeto de Lei nº 1.207, de 2024, no âmbito desta Comissão de Segurança, na forma do Substitutivo anexo.",parecer_autor
77769,57,Deputado Ricardo Vale,PT,3,relatou (parecer),2024-09-24,2024,34,9,20842,api_i8,,normalizar,20842,134038,GAB DEP RICARDO VALE,Não apreciado(a),merito_favoravel,"Diante do exposto, voto pela APROVAÇÃO do Projeto de Lei nº 1.220, de 2024.",parecer_autor
77770,68,Deputado Gabriel Magno,PT,3,relatou (parecer),2024-10-08,2024,34,9,20889,api_i8,,normalizar,20889,135327,GAB DEP GABRIEL MAGNO,Não apreciado(a),merito_favoravel,"Ante o exposto, do ponto de vista da relevância, da oportunidade e da conveniência, manifestamo-nos pela aprovação, no mérito, do Projeto de Lei nº 1209, de 2024, no âmbito desta Comissão de Educação, Saúde e Cultura.",parecer_autor
77771,60,Deputada Dayse Amarilio,PSB,3,relatou (parecer),2024-09-17,2024,34,9,20891,api_i8,,normalizar,20891,132986,GAB DEP DAYSE AMARILIO,Aprovado(a),merito_favoravel,"Diante do exposto, no âmbito desta Comissão de Assuntos Sociais, o nosso voto é pela APROVAÇÃO do Projeto de Decreto Legislativo n° 169 de 2024.",parecer_autor
77772,57,Deputado Ricardo Vale,PT,3,relatou (parecer),2024-09-24,2024,34,9,20909,api_i8,,normalizar,20909,134042,GAB DEP RICARDO VALE,Não apreciado(a),merito_favoravel,"Diante do exposto, voto pela APROVAÇÃO do Projeto de Lei nº 1.226, de 2024.",parecer_autor
77773,68,Deputado Gabriel Magno,PT,3,relatou (parecer),2024-12-06,2024,34,9,20919,api_i8,,normalizar,20919,280613,GAB DEP GABRIEL MAGNO,Aprovado(a),merito_favoravel,"Diante do exposto, no âmbito da CTMU, somos pela APROVAÇÃO, no mérito, do PL nº 1.228/2024, com a Emenda aditiva nº 1.",parecer_autor
